id,Ag_Pot_Maj,1997_Perc_Anthro,2011_Perc_Anthro,2013_Perc_Anthro,Cons_AOD,Biodiv_Pri,Clim_Zone,ClimChgZon,AvgD_FedCU,AvgD_StaCU,AvgD_Log,AvgDist0_97,AvgDist2_00,AvgDist5_03,AvgDist6_04,AvgDist7_05,AvgDist8_06,AvgDist9_07,AvgDist10_08,AvgDist11_13,AvgDist12_14,AvgDist_15,AvgD_Rail,AvgD_Mine,AvgD_City,AvgD_MajCi,Cons_Ecosy,AreaForRes,AreaOvLR,DomSoil,ConsTrdPop,DomVegetat
279,8,0.179287318,0.20679202,0.000553914,,87.96044015,4,4,62213.24683,221932.8261,53793.64453,808487.596,295232.0381,1864776.098,1866812.963,887443.2051,1925600.195,1585394.684,271655.3522,1387537.315,97656.68168,295232.0381,781694.0606,4774.537431,45675.11673,37482.77344,99.99999976,,95.8726466,20,,20
283,2,83.30935798,83.26711866,,,99.99999994,3,6,125509.301,112675.9901,101298.3646,0,88733.33333,1253638.025,1253638.025,431275.1021,1570859.267,1509252.392,88733.33333,1283438.042,1003022.917,88733.33333,379441.4146,17816.53997,12199.82292,NA,,,100.0000006,14,,20
289,8,14.11992977,14.43153871,6.149117784,25.1428389,99.99999979,5,2,148721.8287,304921.0801,83078.72425,579235.4063,570561.4124,1086733.298,1086733.298,798730.6805,1647680.745,1579652.671,511996.3581,1094363.073,1643865.093,570561.4124,622830.9859,235604.7949,53678.21121,NA,,,100,13,,2
290,6,0.145863242,0.145226132,,98.16314075,99.10188871,3,4,224372.6659,72225.5241,235714.839,276419.9403,493778.8199,1388498.178,1388498.178,673150.0837,1578188.264,1343607.375,488619.2729,1163097.313,575207.9381,493778.8199,630849.2263,55811.20096,123675.6702,123217.409,100,65.91074352,,20,,20
291,8,6.64201688,6.864952916,,,100.0000003,5,7,133001.179,294928.3113,78078.03051,561835.908,550786.1474,1094107.13,1094107.13,777970.8656,1650033.667,1580929.271,494703.5761,1102423.552,1626563.547,550786.1474,611189.3314,238472.5348,46833.34198,NA,,,99.99999977,13,,2
292,2,12.5535424,12.64823258,20.16392256,100,,3,6,96191.60162,89272.96064,83746.99505,0,40595.41985,1235473.133,1235473.133,429624.5682,1565722.43,1502926.147,40595.41985,1261372.351,1051594.436,40595.41985,362319.0174,27976.35495,26056.17513,NA,,,100,11,100.0000003,20
301,4,11.31488201,11.33699799,1.558336401,,100.0000001,1,6,83323.59205,202444.0319,742755.6952,185957.7429,219690.3687,2205892.011,2205892.011,200110.7504,2620195.307,2554537.717,983004.3221,2223036.672,473925.4666,219690.3687,1404632.277,238053.7094,26946.0508,39571.61719,,,,13,99.99999985,17
309,2,69.25864728,68.30590735,,,99.99999898,3,6,118492.7248,106108.0165,99196.31337,0,81666.66667,1252882.75,1252882.75,428334.2778,1572282.722,1510481.778,81666.66667,1282006.389,1010671.708,81666.66667,378589.8472,17548.7602,18379.39128,NA,,,99.999999,14,,20
319,2,65.29811238,65.5745067,18.36867811,100.0000001,100.0000003,3,6,155207.5891,150525.3833,18265.83854,0,24633.33333,1172427.633,1172427.633,494940.0599,1500208.194,1437422.052,24633.33333,1200212.61,1055380.585,24633.33333,298428.2281,47595.12318,24882.30459,NA,,,100.0000001,11,99.99999971,2
320,1,2.632044116,2.646939181,,,8.852667791,1,6,48112.21482,70929.71196,796241.2045,251943.3974,311195.6436,1969743.511,1969743.511,256285.3203,2424422.462,2356514.914,811319.6241,1984478.628,749478.1151,311195.6436,1214141.364,24753.98935,36562.0113,132747.8238,,,,13,,20
321,1,,,,,99.9999996,1,6,172306.354,6227.018317,665283.0887,134996.3362,290014.9352,1837018.87,1837018.87,240364.6923,2279727.583,2212171.08,663587.4954,1852996.039,829018.0841,290014.9352,1068011.517,43243.96783,30158.52129,NA,,,,13,99.99999983,1
326,8,,,,,99.17944951,3,3,268955.7794,286068.3248,448831.5313,482811.9521,472480.878,601229.7572,601229.7572,601229.7572,1094027.627,1023824.221,464452.6636,620688.9519,1342573.99,472480.878,335517.9092,105113.2003,263278.1773,359620.6102,25.06017443,58.67406644,,8,,20
328,2,11.0872217,10.29224728,30.35120883,99.99999893,,3,6,90169.94531,81374.70182,90663.04167,0,48500,1247424.021,1247424.021,419150.776,1576604.396,1513935.75,48500,1273482.563,1045938.167,48500,374097.1042,31476.35547,24523.7474,NA,,,99.99999893,0,100.0000002,20
331,8,,,,,99.99999991,2,6,182331.2535,275801.058,265680.3469,63058.95262,14931.98188,1933035.904,1933035.904,14931.98188,2253050.277,2140308.131,647609.5568,1954747.822,705223.4046,14931.98188,1060670.993,321393.1324,75755.87261,75081.85938,,,,13,,20
332,2,,,,,100.0000001,2,6,159379.019,283531.4612,262673.3616,35830.68571,16093.69375,1889494.818,1889494.818,10561.00488,2212397.133,2107507.486,603224.345,1910617.49,744272.5955,16093.69375,1017642.395,338918.7295,83281.36925,90237.17188,,,,21,,20
333,2,1.422219511,1.422211614,,,,3,6,225769.1703,165839.294,211454.4433,236973.0797,181619.681,2047603.21,2047603.21,181619.681,2340332.604,2177546.653,780507.6991,1998303.854,658196.3028,181619.681,1173593.28,157061.7506,63887.84312,67565.49479,,,,21,100,20
334,8,,,,,99.99999987,2,6,175035.4616,277245.0033,260005.7359,48897.07611,9615.984419,1907506.616,1907506.616,9615.984419,2228624.904,2119548.932,621851.6856,1929056.873,728818.9367,9615.984419,1035297.789,327953.2787,73905.61214,79143.23438,,,,13,,20
335,2,,,,,,3,6,222777.8836,179759.1266,211058.1811,208718.3803,153121.8678,2008935.332,2008935.332,153121.8678,2304317.546,2148265.997,740515.1225,1970179.543,685509.0173,153121.8678,1134780.727,181599.2482,23520.63576,25027.28711,,,,13,100.0000002,20
336,2,3.8290329,3.822455445,0.475629492,,100,3,6,28443.17626,170680.9891,237236.8748,244872.4515,241126.9764,2252730.994,2252730.994,241126.9764,2550581.248,2382301.152,976035.9008,2201072.828,464165.356,241126.9764,1378478.728,206665.1338,44643.09784,68853.78125,,,,21,100,20
343,8,9.067846351,9.01706871,,17.11795289,,2,6,234560.9055,189935.3396,281481.1785,133351.6263,305315.6981,1515011.003,1515011.003,288442.2728,1803535.698,1684175.993,311101.2813,1516025.582,869568.9657,305315.6981,644803.6713,154538.4461,61647.95259,55962.71484,100.0000001,,,14,,20
355,8,2.405026972,2.352039939,1.101996053,99.99999994,,5,7,230983.141,193645.4192,76495.32251,967368.686,141275.6658,1675739.751,1679071.36,1080168.106,1733515.202,1565215.224,141274.8538,1367431.14,5355.445465,141275.6658,623293.8933,67433.63048,57000.79288,NA,,,13.25784956,21,,2
356,8,38.31653043,38.50524981,,,,5,2,191181.0605,44037.01659,208921.2614,747091.5934,40780.20813,485095.7169,522740.3969,535570.7683,547556.9043,68283.63709,844415.6621,40532.21872,101064.949,40780.20813,191633.0009,67719.55148,63175.28489,56930.94336,,,88.24417356,14,,20
